Age,Gender,Marital Status,Education Level,Employment Status,Credit Utilization Ratio, Payment History ,Number of Credit Accounts, Loan Amount ,Interest Rate,Loan Term,Type of Loan,Age Group
60,Male,Married,Master,Employed,0.22," 2,685 ",2,4675000,2.65,48,Personal Loan,sixties
25,Male,Married,High School,Unemployed,0.2," 2,371 ",9,3619000,5.19,60,Auto Loan,twenties
30,Female,Single,Master,Employed,0.22," 2,771 ",6,957000,2.76,12,Auto Loan,thirties
58,Female,Married,PhD,Unemployed,0.12," 1,371 ",2,4731000,6.57,60,Auto Loan,fifties
32,Male,Married,Bachelor,Self-Employed,0.99, 828 ,2,3289000,6.28,36,Personal Loan,thirties
42,Male,Divorced,Master,Unemployed,0.94," 2,342 ",2,1536000,11.15,24,Personal Loan,forties
44,Female,Divorced,Bachelor,Unemployed,0.32," 2,800 ",1,2021000,16.61,36,Auto Loan,forties
24,Male,Divorced,Master,Employed,0.66," 1,428 ",8,1298000,6.03,24,Home Loan,twenties
54,Female,Divorced,PhD,Unemployed,0.4, 800 ,3,4374000,10.38,12,Personal Loan,fifties
60,Male,Divorced,PhD,Unemployed,0.06," 1,371 ",10,4026000,11.05,60,Personal Loan,sixties
27,Female,Divorced,Master,Employed,0.29, 571 ,8,127000,19.12,36,Home Loan,twenties
52,Male,Divorced,Master,Unemployed,0.51, 714 ,3,3237000,15.49,60,Home Loan,fifties
58,Female,Single,High School,Employed,0.93," 1,114 ",4,586000,5.58,60,Personal Loan,fifties
51,Male,Divorced,Bachelor,Employed,0.66," 2,000 ",3,2323000,11.03,60,Auto Loan,fifties
54,Male,Divorced,Master,Self-Employed,1.0," 2,371 ",6,3775000,18.09,48,Personal Loan,fifties
34,Male,Single,High School,Unemployed,0.55," 2,142 ",4,160000,2.35,12,Personal Loan,thirties
22,Female,Married,Bachelor,Self-Employed,0.67, 771 ,9,1210000,14.74,60,Home Loan,twenties
35,Female,Single,Bachelor,Employed,0.1," 1,571 ",6,3653000,8.81,12,Home Loan,thirties
61,Male,Married,PhD,Unemployed,0.34, 371 ,4,1707000,4.61,48,Personal Loan,sixties
31,Female,Single,Bachelor,Employed,0.44," 2,000 ",2,524000,13.39,60,Personal Loan,thirties
35,Male,Single,PhD,Self-Employed,0.21," 1,457 ",1,1481000,8.2,48,Auto Loan,thirties
38,Female,Divorced,PhD,Employed,0.19, 771 ,1,4959000,14.98,12,Home Loan,thirties
23,Male,Divorced,PhD,Unemployed,0.92," 1,914 ",3,577000,19.25,12,Personal Loan,twenties
58,Male,Divorced,Bachelor,Self-Employed,0.12," 2,057 ",4,4956000,12.3,60,Personal Loan,fifties
62,Female,Single,Bachelor,Unemployed,0.72, 857 ,5,3420000,3.49,36,Auto Loan,sixties
24,Male,Single,High School,Employed,0.54," 1,828 ",5,1211000,18.73,12,Personal Loan,twenties
38,Male,Single,Master,Unemployed,0.98," 2,371 ",9,166000,13.69,60,Auto Loan,thirties
26,Male,Single,High School,Employed,0.74, 542 ,5,2464000,12.49,36,Personal Loan,twenties
60,Female,Divorced,PhD,Self-Employed,0.91, 171 ,2,3653000,16.76,12,Personal Loan,sixties
28,Female,Married,PhD,Unemployed,0.71," 2,028 ",1,1038000,2.43,24,Home Loan,twenties
43,Male,Single,Bachelor,Employed,0.31, 142 ,6,1862000,13.96,12,Auto Loan,forties
46,Male,Married,Bachelor,Employed,0.88, 85 ,3,2887000,15.87,48,Home Loan,forties
35,Female,Married,High School,Self-Employed,0.87," 1,714 ",4,1774000,16.52,48,Auto Loan,thirties
34,Male,Married,Bachelor,Self-Employed,0.33, 228 ,5,3046000,13.19,48,Home Loan,thirties
41,Male,Married,Master,Employed,0.58, 942 ,1,1009000,12.33,36,Home Loan,forties
47,Male,Single,Bachelor,Self-Employed,0.04," 1,571 ",1,4461000,18.59,60,Home Loan,forties
62,Male,Single,PhD,Employed,0.95," 1,200 ",10,2733000,13.6,12,Home Loan,sixties
52,Female,Divorced,PhD,Self-Employed,0.4," 1,057 ",9,1168000,4.64,48,Home Loan,fifties
31,Female,Single,High School,Self-Employed,0.29," 1,571 ",10,2803000,9.83,48,Home Loan,thirties
52,Female,Divorced,Bachelor,Unemployed,0.08," 1,857 ",10,2912000,2.77,24,Home Loan,fifties
34,Male,Married,High School,Employed,0.24," 1,714 ",10,711000,9.65,60,Personal Loan,thirties
64,Female,Single,PhD,Employed,0.15," 2,514 ",1,994000,15.79,24,Personal Loan,sixties
53,Female,Married,Bachelor,Employed,0.46," 1,685 ",9,4789000,12.31,48,Home Loan,fifties
52,Female,Divorced,PhD,Employed,0.74," 1,714 ",8,2274000,15.28,36,Home Loan,fifties
60,Male,Single,PhD,Employed,0.71, 857 ,5,2917000,7.07,60,Personal Loan,sixties
29,Male,Single,Bachelor,Unemployed,0.21," 1,514 ",7,2876000,11.31,48,Personal Loan,twenties
46,Female,Divorced,High School,Unemployed,0.38, -   ,6,2605000,15.32,48,Home Loan,forties
54,Male,Single,Bachelor,Self-Employed,0.44, 85 ,7,2920000,13.71,48,Home Loan,fifties
49,Male,Divorced,High School,Self-Employed,0.59," 2,400 ",1,804000,13.21,24,Auto Loan,forties
23,Female,Single,Master,Employed,0.45," 1,228 ",7,2434000,15.29,48,Auto Loan,twenties
50,Male,Divorced,High School,Self-Employed,0.22, 228 ,1,360000,19.04,24,Personal Loan,fifties
29,Male,Married,PhD,Unemployed,0.11, 771 ,8,2250000,15.57,24,Home Loan,twenties
65,Male,Married,Master,Employed,0.58," 1,114 ",10,3248000,8.54,24,Personal Loan,sixties
64,Male,Married,Master,Unemployed,0.6, 428 ,10,445000,7.6,48,Home Loan,sixties
24,Female,Married,PhD,Self-Employed,0.11," 1,314 ",8,1383000,9.27,60,Home Loan,twenties
59,Female,Single,PhD,Unemployed,0.59," 1,171 ",4,827000,6.3,48,Personal Loan,fifties
56,Female,Single,High School,Self-Employed,0.85, 657 ,8,1879000,7.74,36,Auto Loan,fifties
58,Female,Divorced,High School,Unemployed,0.95, 285 ,4,3509000,10.28,24,Home Loan,fifties
61,Female,Single,High School,Employed,0.29," 1,457 ",4,2669000,13.62,36,Auto Loan,sixties
53,Female,Single,Master,Self-Employed,0.7, 971 ,5,2209000,5.38,24,Auto Loan,fifties
54,Male,Married,Bachelor,Unemployed,0.48," 2,628 ",10,4501000,12.34,12,Personal Loan,fifties
34,Female,Married,Master,Employed,0.71, 457 ,5,482000,19.51,60,Auto Loan,thirties
28,Female,Married,High School,Unemployed,0.28," 1,742 ",8,2958000,4.5,12,Auto Loan,twenties
27,Male,Single,PhD,Employed,0.58," 2,485 ",1,1373000,3.83,60,Auto Loan,twenties
35,Male,Divorced,PhD,Unemployed,0.6," 2,257 ",4,4484000,8.23,48,Auto Loan,thirties
47,Female,Divorced,High School,Unemployed,0.96, 342 ,4,1870000,6.03,12,Personal Loan,forties
31,Male,Married,High School,Self-Employed,0.45," 2,171 ",8,2543000,1.62,36,Home Loan,thirties
64,Female,Married,Bachelor,Self-Employed,0.79," 2,285 ",10,1759000,9.08,60,Personal Loan,sixties
29,Female,Married,High School,Employed,0.17," 1,114 ",10,4875000,18.5,48,Personal Loan,twenties
64,Female,Divorced,PhD,Self-Employed,0.5," 1,800 ",8,775000,12.36,48,Home Loan,sixties
58,Female,Married,High School,Employed,0.96," 2,085 ",10,274000,19.99,36,Home Loan,fifties
31,Female,Divorced,PhD,Self-Employed,0.18," 2,114 ",7,4225000,19.41,48,Auto Loan,thirties
41,Female,Divorced,High School,Employed,0.33," 2,514 ",8,2518000,13.59,48,Home Loan,forties
49,Male,Single,Master,Self-Employed,0.12," 2,800 ",7,4417000,16.67,12,Home Loan,forties
49,Female,Married,Bachelor,Unemployed,0.36," 2,742 ",8,3808000,15.44,24,Auto Loan,forties
28,Female,Single,PhD,Employed,0.03," 2,285 ",10,2107000,14.49,36,Home Loan,twenties
55,Female,Married,Bachelor,Employed,0.46, 428 ,3,4281000,18.72,36,Home Loan,fifties
37,Female,Single,PhD,Employed,0.46, 514 ,7,1699000,18.52,60,Home Loan,thirties
24,Female,Single,Master,Unemployed,0.27, -   ,5,2604000,16.91,60,Home Loan,twenties
29,Female,Divorced,PhD,Self-Employed,0.33," 2,771 ",9,3264000,9.65,36,Personal Loan,twenties
35,Female,Married,PhD,Employed,0.32," 1,714 ",7,3339000,19.78,24,Auto Loan,thirties
28,Female,Married,PhD,Employed,0.53," 1,657 ",1,1309000,8.79,24,Personal Loan,twenties
36,Female,Divorced,PhD,Unemployed,0.08," 1,200 ",9,3288000,19.13,48,Home Loan,thirties
59,Male,Married,Master,Employed,0.75," 1,571 ",2,943000,9.43,36,Personal Loan,fifties
40,Male,Single,Master,Self-Employed,0.43, 885 ,9,3557000,11.75,24,Personal Loan,forties
25,Female,Divorced,Bachelor,Self-Employed,0.91, 514 ,4,3968000,13.12,48,Auto Loan,twenties
20,Female,Single,Bachelor,Employed,0.44," 1,257 ",10,2609000,13.14,48,Home Loan,twenties
49,Female,Married,PhD,Self-Employed,0.11," 1,371 ",10,3111000,11.92,36,Personal Loan,forties
45,Female,Married,High School,Unemployed,0.75," 1,028 ",4,3055000,5.16,24,Home Loan,forties
63,Male,Divorced,High School,Unemployed,0.65," 1,114 ",8,380000,12.01,24,Personal Loan,sixties
40,Female,Married,Bachelor,Employed,0.79," 1,314 ",9,4309000,18.36,24,Auto Loan,forties
38,Female,Married,PhD,Employed,0.14, 800 ,7,4775000,7.95,48,Personal Loan,thirties
54,Male,Single,Master,Unemployed,0.75, 942 ,10,3296000,16.63,36,Personal Loan,fifties
34,Female,Married,Master,Unemployed,0.22, 228 ,8,2635000,13.34,12,Personal Loan,thirties
22,Female,Single,High School,Employed,0.23," 1,942 ",3,3360000,9.62,60,Auto Loan,twenties
29,Female,Divorced,High School,Self-Employed,0.62," 1,000 ",1,3208000,5.13,48,Personal Loan,twenties
26,Female,Divorced,Master,Employed,0.4, 685 ,2,3914000,2.74,24,Home Loan,twenties
58,Male,Married,Master,Employed,0.99," 2,857 ",10,1821000,2.3,60,Personal Loan,fifties
33,Male,Single,Bachelor,Unemployed,0.0, 514 ,3,4632000,5.76,24,Personal Loan,thirties
21,Male,Married,Master,Employed,0.59, 57 ,3,2326000,2.0,48,Home Loan,twenties
24,Female,Single,Master,Unemployed,0.59," 1,628 ",9,1958000,18.96,12,Home Loan,twenties
53,Female,Single,High School,Employed,1.0," 1,457 ",7,1006000,10.32,48,Personal Loan,fifties
40,Male,Married,Bachelor,Self-Employed,0.62," 2,114 ",9,2828000,8.24,60,Home Loan,forties
49,Female,Married,High School,Unemployed,0.65," 2,800 ",9,1904000,9.17,24,Auto Loan,forties
49,Female,Single,High School,Self-Employed,0.43," 2,428 ",5,3240000,19.12,48,Personal Loan,forties
25,Male,Single,High School,Unemployed,0.74, 457 ,9,603000,12.14,60,Home Loan,twenties
62,Male,Single,Master,Unemployed,0.94," 1,542 ",1,2513000,12.41,36,Personal Loan,sixties
52,Male,Married,PhD,Employed,0.85," 1,257 ",9,3183000,3.18,36,Home Loan,fifties
47,Male,Divorced,Master,Employed,0.18," 2,542 ",5,2951000,7.67,24,Personal Loan,forties
62,Female,Married,Bachelor,Unemployed,0.63, 85 ,2,4550000,5.09,48,Auto Loan,sixties
30,Female,Single,Master,Unemployed,0.6, 171 ,3,1420000,15.33,12,Home Loan,thirties
37,Female,Divorced,PhD,Self-Employed,0.61," 1,514 ",5,1908000,15.34,12,Auto Loan,thirties
27,Female,Divorced,PhD,Unemployed,0.67, 142 ,4,3416000,19.7,12,Personal Loan,twenties
39,Male,Married,Master,Self-Employed,0.33, -   ,8,3713000,4.34,48,Home Loan,thirties
34,Female,Married,PhD,Unemployed,0.04, 57 ,8,753000,17.38,60,Auto Loan,thirties
45,Female,Single,High School,Self-Employed,0.02," 1,171 ",3,3960000,16.81,36,Personal Loan,forties
26,Male,Single,PhD,Unemployed,0.08," 1,114 ",6,1959000,7.33,24,Personal Loan,twenties
60,Male,Divorced,Bachelor,Self-Employed,0.35," 2,342 ",3,2082000,2.95,36,Personal Loan,sixties
58,Male,Divorced,High School,Employed,0.95," 2,285 ",8,3992000,15.33,60,Auto Loan,fifties
56,Female,Divorced,Master,Employed,0.44," 1,714 ",8,2640000,16.13,60,Personal Loan,fifties
52,Male,Single,PhD,Self-Employed,0.04," 1,342 ",5,744000,13.25,12,Home Loan,fifties
52,Female,Single,High School,Self-Employed,0.91," 2,085 ",4,2797000,12.5,60,Personal Loan,fifties
48,Male,Single,High School,Unemployed,0.65, 142 ,4,3772000,19.83,60,Home Loan,forties
30,Female,Single,Master,Self-Employed,0.41," 1,228 ",10,539000,16.0,36,Personal Loan,thirties
26,Female,Single,Master,Unemployed,0.85," 2,200 ",3,2896000,2.55,24,Auto Loan,twenties
61,Female,Married,High School,Self-Employed,0.56," 2,342 ",6,1172000,13.73,60,Personal Loan,sixties
62,Female,Divorced,Master,Employed,0.36, 657 ,4,2967000,19.01,48,Personal Loan,sixties
28,Male,Married,Master,Employed,0.51," 1,971 ",9,417000,13.58,60,Personal Loan,twenties
44,Male,Married,Bachelor,Unemployed,0.77, 600 ,8,467000,8.81,24,Auto Loan,forties
38,Female,Married,Bachelor,Self-Employed,0.97," 2,857 ",8,1728000,7.99,60,Auto Loan,thirties
38,Female,Divorced,PhD,Employed,0.82," 2,200 ",3,2197000,1.99,48,Auto Loan,thirties
26,Male,Single,High School,Employed,0.27," 1,857 ",3,3770000,2.74,24,Auto Loan,twenties
21,Female,Married,PhD,Unemployed,0.37," 1,400 ",2,3245000,5.27,36,Personal Loan,twenties
61,Female,Married,Bachelor,Employed,0.29," 1,714 ",3,4035000,9.52,12,Personal Loan,sixties
36,Male,Married,PhD,Employed,0.78, 857 ,5,1122000,1.91,48,Home Loan,thirties
49,Male,Married,PhD,Unemployed,0.54," 2,285 ",9,4924000,5.6,24,Auto Loan,forties
20,Female,Married,PhD,Employed,0.66, 285 ,9,3125000,2.29,60,Home Loan,twenties
52,Male,Single,PhD,Employed,0.64," 1,342 ",5,236000,7.78,12,Auto Loan,fifties
62,Male,Divorced,Master,Employed,0.04," 1,971 ",6,1569000,16.78,48,Home Loan,sixties
60,Male,Married,High School,Unemployed,0.78," 1,657 ",1,2562000,4.83,24,Personal Loan,sixties
39,Female,Divorced,PhD,Self-Employed,0.04," 2,342 ",4,2500000,7.78,12,Home Loan,thirties
37,Male,Single,PhD,Self-Employed,0.74," 1,400 ",6,1667000,10.43,48,Auto Loan,thirties
37,Male,Divorced,PhD,Employed,0.43, 657 ,9,2564000,7.1,12,Auto Loan,thirties
38,Female,Single,PhD,Employed,0.69," 1,257 ",8,455000,14.81,36,Home Loan,thirties
37,Male,Married,PhD,Self-Employed,0.51," 2,714 ",3,361000,3.71,60,Home Loan,thirties
22,Male,Married,Bachelor,Unemployed,0.37," 1,400 ",10,372000,12.5,48,Auto Loan,twenties
48,Male,Divorced,Bachelor,Unemployed,0.37," 1,142 ",5,2194000,19.25,12,Home Loan,forties
51,Female,Divorced,High School,Self-Employed,0.77," 2,571 ",8,1900000,19.93,36,Home Loan,fifties
32,Male,Married,High School,Self-Employed,0.17," 2,600 ",8,836000,16.4,36,Home Loan,thirties
65,Male,Divorced,Master,Self-Employed,0.85," 2,600 ",3,3132000,10.67,12,Personal Loan,sixties
35,Female,Married,Master,Unemployed,0.57," 1,685 ",9,1189000,12.63,12,Personal Loan,thirties
45,Female,Divorced,PhD,Self-Employed,0.82, 257 ,3,2759000,13.2,48,Auto Loan,forties
53,Female,Married,Bachelor,Employed,0.43, 200 ,2,4446000,3.91,24,Personal Loan,fifties
65,Male,Single,Master,Employed,0.25," 2,314 ",9,2402000,3.38,36,Home Loan,sixties
25,Male,Divorced,Bachelor,Employed,0.66," 2,628 ",10,2932000,17.01,60,Personal Loan,twenties
25,Male,Divorced,Master,Unemployed,0.21," 2,085 ",7,354000,10.46,60,Auto Loan,twenties
39,Female,Married,PhD,Self-Employed,0.45," 2,514 ",1,1426000,9.35,48,Auto Loan,thirties
41,Male,Single,Master,Unemployed,0.99," 1,257 ",7,1197000,15.45,60,Home Loan,forties
40,Male,Single,High School,Self-Employed,0.45, 514 ,2,525000,6.51,48,Home Loan,forties
35,Male,Single,Master,Employed,0.76," 1,800 ",9,4016000,10.48,36,Auto Loan,thirties
25,Female,Divorced,PhD,Employed,0.22," 1,285 ",1,524000,6.35,60,Home Loan,twenties
50,Female,Divorced,High School,Employed,0.43, 942 ,6,3483000,7.95,48,Personal Loan,fifties
55,Male,Single,Master,Employed,0.39," 1,628 ",9,2446000,16.68,60,Home Loan,fifties
27,Male,Married,PhD,Self-Employed,0.79," 1,228 ",9,3167000,15.34,24,Home Loan,twenties
45,Male,Married,High School,Employed,0.71," 1,714 ",9,3933000,3.83,60,Personal Loan,forties
59,Female,Married,PhD,Unemployed,0.74," 1,085 ",10,2922000,10.64,60,Home Loan,fifties
65,Female,Single,High School,Self-Employed,0.33, 400 ,7,4996000,6.85,12,Home Loan,sixties
36,Male,Divorced,High School,Unemployed,0.48," 1,914 ",10,3289000,3.81,24,Personal Loan,thirties
64,Male,Married,High School,Self-Employed,0.31, 542 ,7,1810000,8.8,60,Auto Loan,sixties
23,Male,Divorced,Bachelor,Unemployed,0.33," 2,400 ",8,4508000,8.16,24,Auto Loan,twenties
41,Female,Divorced,Master,Unemployed,0.48, 885 ,5,4782000,6.67,36,Auto Loan,forties
33,Female,Single,PhD,Self-Employed,0.56," 2,628 ",5,2514000,3.32,60,Auto Loan,thirties
42,Male,Single,High School,Self-Employed,0.96, 285 ,6,3811000,13.46,48,Personal Loan,forties
54,Female,Divorced,Master,Employed,0.11," 2,685 ",10,2107000,5.61,60,Personal Loan,fifties
34,Male,Married,PhD,Self-Employed,0.72, 342 ,3,143000,19.33,24,Auto Loan,thirties
50,Female,Divorced,Bachelor,Self-Employed,0.32," 2,342 ",1,850000,13.39,24,Home Loan,fifties
22,Male,Single,Bachelor,Employed,1.0," 1,428 ",8,1663000,18.8,36,Personal Loan,twenties
39,Male,Single,Master,Self-Employed,0.99," 1,971 ",9,4243000,17.9,24,Home Loan,thirties
37,Male,Married,Master,Employed,0.73," 2,342 ",5,1662000,1.27,36,Auto Loan,thirties
63,Male,Married,PhD,Self-Employed,0.52, 314 ,7,900000,4.51,24,Auto Loan,sixties
35,Male,Single,PhD,Employed,0.45, 971 ,6,2633000,12.07,60,Personal Loan,thirties
61,Female,Divorced,Bachelor,Employed,0.67," 1,685 ",5,1440000,8.7,60,Home Loan,sixties
64,Male,Divorced,Master,Self-Employed,0.61, 800 ,3,4111000,3.91,60,Auto Loan,sixties
64,Female,Divorced,Bachelor,Employed,0.68," 2,171 ",2,4508000,9.49,36,Personal Loan,sixties
27,Male,Divorced,Bachelor,Unemployed,0.54, 600 ,6,4465000,9.39,24,Home Loan,twenties
51,Male,Divorced,PhD,Employed,0.45," 1,857 ",7,3932000,11.71,60,Auto Loan,fifties
39,Male,Single,Master,Employed,0.75," 2,114 ",2,480000,9.05,12,Home Loan,thirties
24,Female,Married,Master,Self-Employed,0.18, 485 ,7,3241000,19.86,48,Auto Loan,twenties
44,Male,Divorced,Bachelor,Unemployed,0.86, 428 ,3,4607000,8.47,24,Home Loan,forties
20,Male,Single,PhD,Unemployed,0.72," 1,542 ",9,3282000,16.64,24,Auto Loan,twenties
29,Female,Married,High School,Employed,0.81," 1,514 ",10,231000,5.57,12,Personal Loan,twenties
22,Female,Divorced,High School,Employed,0.74," 1,457 ",8,2066000,11.26,12,Personal Loan,twenties
38,Male,Divorced,Master,Unemployed,0.6," 2,457 ",6,2087000,6.73,24,Home Loan,thirties
34,Female,Single,Master,Employed,0.56," 2,142 ",3,3684000,11.56,12,Auto Loan,thirties
62,Female,Divorced,Master,Unemployed,0.42, 542 ,5,3258000,4.49,60,Auto Loan,sixties
34,Female,Divorced,Bachelor,Self-Employed,0.91," 2,028 ",7,3594000,11.59,24,Auto Loan,thirties
36,Male,Single,High School,Self-Employed,0.85, 314 ,9,1698000,1.98,48,Home Loan,thirties
58,Male,Married,Bachelor,Unemployed,0.72," 2,028 ",4,4121000,4.97,36,Auto Loan,fifties
33,Male,Divorced,High School,Unemployed,1.0," 1,742 ",4,1816000,8.54,24,Home Loan,thirties
38,Female,Single,Master,Self-Employed,0.26," 1,857 ",8,4009000,2.87,48,Auto Loan,thirties
43,Female,Single,High School,Unemployed,0.86," 2,685 ",3,236000,5.95,60,Home Loan,forties
46,Female,Married,Bachelor,Self-Employed,0.23," 2,057 ",4,4288000,11.46,36,Auto Loan,forties
61,Female,Single,Bachelor,Unemployed,0.79, 600 ,3,4685000,10.28,60,Home Loan,sixties
53,Male,Married,High School,Employed,0.41," 2,285 ",4,670000,14.44,12,Personal Loan,fifties
49,Female,Married,PhD,Unemployed,0.49, -   ,9,4728000,8.82,12,Home Loan,forties
37,Female,Married,PhD,Employed,0.11, 342 ,9,1349000,5.58,60,Home Loan,thirties
42,Female,Single,High School,Self-Employed,0.96," 1,657 ",10,2140000,19.81,24,Auto Loan,forties
25,Male,Married,PhD,Self-Employed,0.38," 1,714 ",1,179000,14.35,12,Auto Loan,twenties
61,Female,Divorced,High School,Unemployed,0.92, 828 ,4,4855000,10.03,12,Personal Loan,sixties
37,Male,Married,Master,Employed,0.96," 2,142 ",3,3441000,18.65,36,Personal Loan,thirties
35,Female,Divorced,Master,Self-Employed,0.76, 485 ,2,4301000,15.16,36,Personal Loan,thirties
47,Male,Married,Master,Unemployed,0.77," 2,171 ",7,2838000,1.56,36,Auto Loan,forties
34,Female,Divorced,PhD,Self-Employed,0.19," 2,114 ",7,819000,15.67,36,Personal Loan,thirties
24,Male,Single,Bachelor,Self-Employed,0.71," 2,314 ",3,3368000,7.02,12,Personal Loan,twenties
39,Female,Single,Master,Employed,0.13, 657 ,7,3865000,11.58,60,Auto Loan,thirties
21,Male,Single,High School,Unemployed,0.6," 1,171 ",7,204000,6.55,48,Personal Loan,twenties
55,Male,Divorced,Bachelor,Unemployed,0.38, 485 ,5,2626000,6.1,24,Personal Loan,fifties
47,Female,Single,Master,Self-Employed,0.78," 1,314 ",5,2169000,14.7,48,Home Loan,forties
32,Female,Married,Bachelor,Self-Employed,0.01," 1,428 ",6,3287000,16.28,36,Auto Loan,thirties
47,Male,Single,Master,Unemployed,0.95, 714 ,8,2736000,4.38,48,Auto Loan,forties
64,Female,Divorced,Bachelor,Self-Employed,0.38," 2,857 ",7,3162000,3.16,60,Personal Loan,sixties
54,Male,Divorced,High School,Unemployed,0.46," 2,571 ",4,3778000,16.16,12,Auto Loan,fifties
51,Male,Divorced,Master,Employed,0.25, 542 ,7,3262000,2.41,60,Auto Loan,fifties
45,Female,Divorced,High School,Self-Employed,0.7," 1,942 ",10,813000,3.08,24,Home Loan,forties
42,Male,Divorced,High School,Unemployed,0.98," 2,457 ",7,2882000,19.35,48,Personal Loan,forties
26,Female,Married,Bachelor,Self-Employed,0.37," 1,685 ",10,4298000,3.86,12,Auto Loan,twenties
38,Female,Married,High School,Unemployed,0.14," 1,114 ",6,3920000,15.9,60,Auto Loan,thirties
50,Male,Single,PhD,Self-Employed,0.07, 142 ,2,289000,17.13,12,Home Loan,fifties
35,Male,Divorced,Bachelor,Self-Employed,0.56," 1,685 ",4,3498000,12.97,24,Home Loan,thirties
47,Female,Married,Bachelor,Self-Employed,0.59," 1,400 ",1,1902000,4.91,12,Home Loan,forties
54,Male,Single,Master,Employed,0.46, 942 ,8,4527000,19.35,36,Home Loan,fifties
59,Female,Divorced,High School,Self-Employed,0.35," 1,657 ",10,1547000,16.46,36,Home Loan,fifties
25,Male,Single,High School,Employed,0.31, 657 ,6,1286000,10.71,48,Home Loan,twenties
56,Female,Single,Bachelor,Self-Employed,0.64," 2,514 ",3,4755000,4.17,36,Personal Loan,fifties
40,Female,Divorced,High School,Self-Employed,0.95," 1,771 ",3,1737000,16.49,60,Home Loan,forties
51,Female,Divorced,PhD,Self-Employed,0.71," 1,600 ",8,1503000,2.57,12,Personal Loan,fifties
22,Female,Married,Master,Employed,0.78," 2,057 ",8,4711000,10.71,60,Personal Loan,twenties
54,Female,Divorced,High School,Unemployed,0.44, 771 ,7,959000,14.98,24,Auto Loan,fifties
48,Female,Single,High School,Self-Employed,0.87, 428 ,4,1861000,16.4,60,Home Loan,forties
65,Female,Married,Bachelor,Employed,0.81, 200 ,10,3043000,11.11,60,Home Loan,sixties
40,Female,Single,Master,Unemployed,0.99," 2,457 ",2,1237000,19.29,48,Personal Loan,forties
61,Male,Divorced,Bachelor,Employed,0.15," 1,171 ",4,3394000,10.3,60,Home Loan,sixties
60,Female,Single,PhD,Employed,0.63," 2,800 ",2,3479000,10.8,36,Home Loan,sixties
49,Female,Single,High School,Unemployed,0.09," 1,657 ",6,631000,16.12,48,Personal Loan,forties
33,Female,Single,Master,Self-Employed,0.34," 2,085 ",3,4849000,17.2,36,Home Loan,thirties
22,Male,Divorced,PhD,Employed,0.12, 571 ,8,3930000,1.01,48,Personal Loan,twenties
28,Female,Married,Master,Employed,0.65, 914 ,2,3219000,13.63,24,Personal Loan,twenties
60,Female,Divorced,Bachelor,Self-Employed,0.66," 2,571 ",2,109000,5.06,12,Personal Loan,sixties
